test MCC		0.16886,	0.32513,	0.19899,	0.20191,	0.17669,	0.21283,	0.28387,	0.19119,	0.29595,	0.28417,	0.18062,	0.33210,	0.25394,	0.33651,	0.20685,	0.19766,	0.32869,	0.17669,	0.28762,	0.28762,
test Accuracy		54.27350,	60.25641,	55.98291,	54.70085,	55.12821,	54.27350,	57.26496,	55.12821,	55.12821,	55.55556,	55.55556,	64.10256,	55.55556,	58.11966,	56.83761,	52.56410,	58.97436,	55.12821,	57.69231,	57.69231,
dev MCC	gold	0.01233,	0.36168,	0.00000,	0.00000,	0.00000,	0.25720,	0.16935,	0.01233,	0.31884,	0.10211,	0.00000,	0.30508,	0.31884,	0.33288,	0.00000,	0.11918,	0.34714,	0.03045,	0.34714,	0.34714,
jason fed the casserole to the children .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jason fed the children the casserole .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nicole fed the meal to the guests .	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	1	0	0
nicole fed the guests the meal .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
elizabeth served the casserole to the family .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
elizabeth served the family the casserole .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
christopher served the meal to the family .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
christopher served the family the meal .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
john gave a gift to the little boy .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john gave the little boy a gift .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john gave a surprise to the family .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john gave the family a surprise .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john gave a puppy to the little boy .	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1
john gave the little boy a puppy .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john gave a book to his wife .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john gave his wife a book .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john gave a plate of food to the little boy .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john gave the little boy a plate of food .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john left a gift to the family .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john left the family a gift .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
john left a surprise to the family .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john left the family a surprise .	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0
john left a puppy to the little boy .	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	1	1	0	1
john left the little boy a puppy .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
john left a book to the little boy .	1	1	0	1	1	1	1	0	1	0	0	1	1	0	0	1	1	0	1	1	0
john left the little boy a book .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
john left a plate of food to his wife .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john left his wife a plate of food .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john brought a gift to the family .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john brought the family a gift .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john brought a surprise to his wife .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john brought his wife a surprise .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john brought a puppy to the little boy .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john brought the little boy a puppy .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john brought a book to his wife .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john brought his wife a book .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john brought a plate of food to his wife .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john brought his wife a plate of food .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jason sold a book to the customer .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jason sold the customer a book .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jessica sold a computer to the mother .	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	1
jessica sold the mother a computer .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
christopher sold a car to the sales clerk .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
christopher sold the sales clerk a car .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
elizabeth traded a book to the mother .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
elizabeth traded the mother a book .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
michael traded a computer to the mother .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
michael traded the mother a computer .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nicole traded a car to the mother .	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1
nicole traded the mother a car .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
christopher peddled a book to the mother .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
christopher peddled the mother a book .	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
jason peddled a computer to the customer .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jason peddled the customer a computer .	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
christopher peddled a car to the sales clerk .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
christopher peddled the sales clerk a car .	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	0	0	1	0	1
jason offered a book to the sales clerk .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jason offered the sales clerk a book .	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
michael offered a computer to the customer .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
michael offered the customer a computer .	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
christopher offered a car to the sales clerk .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
christopher offered the sales clerk a car .	1	1	1	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0
michael rented a car to the tenant .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
michael rented the tenant a car .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jessica rented an apartment to the tenant .	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
jessica rented the tenant an apartment .	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
elizabeth loaned a car to the defendant .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
elizabeth loaned the defendant a car .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jessica loaned an apartment to the defendant .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jessica loaned the defendant an apartment .	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0
jason allotted a plot of land to the children .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jason allotted the children a plot of land .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jessica allotted the property to the family lawer .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jessica allotted the family lawer the property .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
elizabeth allotted the art collection to the client .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
elizabeth allotted the client the art collection .	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
christopher allotted the mansion to the family lawer .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
christopher allotted the family lawer the mansion .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nicole bequeathed a plot of land to the children .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
nicole bequeathed the children a plot of land .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jessica bequeathed the property to the children .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jessica bequeathed the children the property .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nicole bequeathed the art collection to the client .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
nicole bequeathed the client the art collection .	1	0	1	1	1	0	0	1	0	1	1	0	1	1	1	0	0	1	0	1	1
jessica bequeathed the mansion to the family lawer .	1	0	1	1	0	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	1
jessica bequeathed the family lawer the mansion .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
michael ceded a plot of land to the children .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
michael ceded the children a plot of land .	1	1	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0
elizabeth ceded the property to the children .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
elizabeth ceded the children the property .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
christopher ceded the art collection to the client .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
christopher ceded the client the art collection .	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
christopher ceded the mansion to the client .	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1
christopher ceded the client the mansion .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jessica granted a plot of land to the client .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jessica granted the client a plot of land .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
elizabeth granted the property to the client .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
elizabeth granted the client the property .	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	1
jason granted the art collection to the client .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jason granted the client the art collection .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jason granted the mansion to the family lawer .	1	0	0	1	1	0	1	1	0	0	1	0	1	1	1	1	0	0	0	0	0
jason granted the family lawer the mansion .	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
michael allocated a plot of land to the children .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
michael allocated the children a plot of land .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jason allocated the property to the children .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jason allocated the children the property .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jessica allocated the art collection to the family lawer .	1	0	1	1	0	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	1
jessica allocated the family lawer the art collection .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
michael allocated the mansion to the client .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
michael allocated the client the mansion .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jason forwarded a letter to the recipient .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jason forwarded the recipient a letter .	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
nicole forwarded a package to the client .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
nicole forwarded the client a package .	1	0	1	0	0	0	0	1	0	0	0	0	1	1	1	0	0	1	0	1	1
christopher forwarded an email to the recipient .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
christopher forwarded the recipient an email .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
elizabeth mailed a letter to the client .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
elizabeth mailed the client a letter .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jessica mailed a package to the recipient .	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1
jessica mailed the recipient a package .	1	0	1	1	0	0	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1
jessica mailed an email to the recipient .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jessica mailed the recipient an email .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nicole carried a package to the family .	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1
nicole carried the family a package .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
christopher carried the sofa to the family .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
christopher carried the family the sofa .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
michael carried the bags to the new tenants .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
michael carried the new tenants the bags .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nicole schlepped a package to the new tenants .	1	1	1	0	1	1	0	1	1	1	0	1	1	1	0	1	0	1	1	1	1
nicole schlepped the new tenants a package .	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jessica schlepped the sofa to the new tenants .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jessica schlepped the new tenants the sofa .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
michael schlepped the bags to the new tenants .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
michael schlepped the new tenants the bags .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
elizabeth lugged a package to the family .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
elizabeth lugged the family a package .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jason lugged the sofa to the family .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jason lugged the family the sofa .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nicole lugged the bags to the new tenants .	1	1	0	1	1	1	0	1	1	0	0	1	0	0	0	1	0	0	1	0	0
nicole lugged the new tenants the bags .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
elizabeth dragged a package to the family .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
elizabeth dragged the family a package .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
elizabeth dragged the sofa to the new tenants .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
elizabeth dragged the new tenants the sofa .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nicole dragged the bags to the family .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
nicole dragged the family the bags .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
elizabeth showed a photo to the audience .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
elizabeth showed the audience a photo .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
christopher showed a new technique to the attendees .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
christopher showed the attendees a new technique .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
christopher addressed a letter to the recipient .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
christopher addressed the recipient a letter .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
elizabeth addressed a speech to the audience .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
elizabeth addressed the audience a speech .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jason recited a letter to the audience .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jason recited the audience a letter .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nicole recited a speech to the audience .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
nicole recited the audience a speech .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jason admitted the crime to the authorities .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jason admitted the authorities the crime .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jessica admitted the error to the authorities .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jessica admitted the authorities the error .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
elizabeth confessed the crime to the authorities .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
elizabeth confessed the authorities the crime .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
christopher confessed the error to the authorities .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
christopher confessed the authorities the error .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
elizabeth distributed the medications to the children .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
elizabeth distributed the children the medications .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
christopher distributed the tests to the children .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
christopher distributed the children the tests .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
christopher administered the medications to the children .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
christopher administered the children the medications .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
christopher administered the tests to the children .	1	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0
christopher administered the children the tests .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
michael begrudged her success to Alice .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
michael begrudged Alice her success .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nicole begrudged her beauty to Alice .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nicole begrudged Alice her beauty .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
michael begrudged her privilege to Alice .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
michael begrudged Alice her privilege .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nicole forgave her success to Alice .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nicole forgave Alice her success .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jason forgave her beauty to Alice .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jason forgave Alice her beauty .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jessica forgave her privilege to Alice .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jessica forgave Alice her privilege .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
christopher charged a thousand dollars to rebecca .	0	1	0	1	1	1	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0
christopher charged rebecca a thousand dollars .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
michael charged a large sum to james .	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
michael charged james a large sum .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jason charged a week 's salary to james .	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
jason charged james a week 's salary .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
elizabeth charged 20 pounds to john .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
elizabeth charged john 20 pounds .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
michael overcharged a thousand dollars to john .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
michael overcharged john a thousand dollars .	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
michael overcharged a large sum to james .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
michael overcharged james a large sum .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
michael overcharged a week 's salary to susan .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
michael overcharged susan a week 's salary .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
christopher overcharged 20 pounds to james .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
christopher overcharged james 20 pounds .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jason bet a thousand dollars to david .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jason bet david a thousand dollars .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jason bet a large sum to rebecca .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jason bet rebecca a large sum .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nicole bet a week 's salary to rebecca .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nicole bet rebecca a week 's salary .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nicole bet 20 pounds to john .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nicole bet john 20 pounds .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
michael spared a thousand dollars to james .	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1
michael spared james a thousand dollars .	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0
elizabeth spared a large sum to kelly .	0	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1
elizabeth spared kelly a large sum .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
christopher spared a week 's salary to james .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
christopher spared james a week 's salary .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
elizabeth spared 20 pounds to james .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
elizabeth spared james 20 pounds .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jessica fined a thousand dollars to kelly .	0	1	0	1	1	1	1	0	1	0	0	1	0	0	0	1	1	0	1	0	0
jessica fined kelly a thousand dollars .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jason fined a large sum to kelly .	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0
jason fined kelly a large sum .	1	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1
nicole fined a week 's salary to kelly .	0	1	0	1	1	1	1	0	1	0	0	1	0	0	0	1	1	0	1	0	0
nicole fined kelly a week 's salary .	1	1	0	1	1	1	1	0	1	0	0	1	0	0	0	1	1	0	1	0	0
jessica fined 20 pounds to rebecca .	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jessica fined rebecca 20 pounds .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
michael taxed a thousand dollars to james .	0	1	0	1	1	1	1	0	1	0	0	1	0	0	0	1	1	0	1	0	0
michael taxed james a thousand dollars .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jason taxed a large sum to james .	0	1	0	1	1	1	1	1	1	0	0	1	1	1	0	1	1	0	1	0	0
jason taxed james a large sum .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
michael taxed a week 's salary to david .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
michael taxed david a week 's salary .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
elizabeth taxed 20 pounds to kelly .	0	1	1	1	0	1	0	0	0	1	0	1	1	1	1	0	0	1	1	1	1
elizabeth taxed kelly 20 pounds .	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
