test MCC		0.34640,	0.44440,	0.45237,	0.44839,	0.47177,	0.46015,	0.46473,	0.46015,	0.43281,	0.42714,	0.42770,	0.40062,	0.47542,	0.48327,	0.40838,	0.38632,	0.46399,	0.45604,	0.45013,	0.45992,
test Accuracy		75.52743,	79.74684,	80.59072,	79.74684,	81.01266,	79.95781,	81.22363,	79.95781,	77.84810,	77.21519,	76.37131,	76.37131,	80.80169,	81.22363,	76.58228,	75.73840,	80.80169,	80.16878,	78.90295,	80.37975,
dev MCC	gold	0.40103,	0.47811,	0.50394,	0.46985,	0.49515,	0.46175,	0.50394,	0.45379,	0.39478,	0.40176,	0.41785,	0.40176,	0.48655,	0.46175,	0.39478,	0.40176,	0.46175,	0.48655,	0.42334,	0.48655,
elizabeth dropped the ball .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the ball dropped .	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1
david dropped the platter .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the platter dropped .	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1
jessica dropped the vase .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the vase dropped .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
michael dropped computer .	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
computer dropped .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
david tipped over the ball .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the ball tipped over .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
nicole tipped over the platter .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the platter tipped over .	1	1	1	1	1	1	0	1	0	0	0	0	0	1	1	0	0	0	1	0	1
michael tipped over the vase .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the vase tipped over .	1	1	0	1	0	0	0	0	0	1	1	0	1	0	1	1	1	0	0	0	0
rebecca tipped over computer .	1	0	0	1	1	1	1	1	0	0	0	0	0	1	1	0	0	1	0	0	1
computer tipped over .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
nicole rolled the ball .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the ball rolled .	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1
jessica rolled the wheel .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the wheel rolled .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rebecca moved the car .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the car moved .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
david moved the bicycle .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the bicycle moved .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rebecca moved the truck .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the truck moved .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jessica moved the boat .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the boat moved .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
nicole moved the ship .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the ship moved .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
michael moved the plane .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the plane moved .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jason moved the cart .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the cart moved .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jason maneuvered the car .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the car maneuvered .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nicole maneuvered the bicycle .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the bicycle maneuvered .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jessica maneuvered the truck .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the truck maneuvered .	1	0	1	1	1	1	1	1	1	0	0	0	0	1	1	0	0	1	1	0	1
elizabeth maneuvered the boat .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the boat maneuvered .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nicole maneuvered the ship .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the ship maneuvered .	1	0	1	1	0	1	0	1	1	1	0	0	0	1	1	0	0	1	0	0	1
nicole maneuvered the plane .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the plane maneuvered .	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0
rebecca maneuvered the cart .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the cart maneuvered .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jessica crashed the car .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the car crashed .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
elizabeth crashed the bicycle .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the bicycle crashed .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
nicole crashed the truck .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the truck crashed .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jessica crashed the boat .	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the boat crashed .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
michael crashed the ship .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the ship crashed .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rebecca crashed the plane .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the plane crashed .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
james crashed the cart .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the cart crashed .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
kelly stopped the car .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the car stopped .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
michael stopped the bicycle .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the bicycle stopped .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rebecca stopped the truck .	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1
the truck stopped .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jason stopped the boat .	1	0	1	1	1	1	1	1	1	0	0	1	0	1	1	0	0	1	1	1	1
the boat stopped .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jason stopped the ship .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the ship stopped .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
james stopped the plane .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the plane stopped .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
michael stopped the cart .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the cart stopped .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
david slowed the car .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the car slowed .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jessica slowed the bicycle .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the bicycle slowed .	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	1	0	0	1
kelly slowed the truck .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the truck slowed .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jason slowed the boat .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the boat slowed .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
christopher slowed the ship .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the ship slowed .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
christopher slowed the plane .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the plane slowed .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
christopher slowed the cart .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the cart slowed .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
nicole accelerated the car .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the car accelerated .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rebecca accelerated the bicycle .	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1
the bicycle accelerated .	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
james accelerated the truck .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the truck accelerated .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
elizabeth accelerated the boat .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the boat accelerated .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
elizabeth accelerated the ship .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the ship accelerated .	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
nicole accelerated the plane .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the plane accelerated .	1	0	1	1	1	1	1	1	1	0	0	1	0	1	1	1	0	1	1	1	1
nicole accelerated the cart .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the cart accelerated .	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1
michael melted the ice .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the ice melted .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
christopher melted the chocolate .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the chocolate melted .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
michael melted the plastic .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the plastic melted .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
michael melted the ice cream .	1	0	1	1	1	1	1	1	1	0	0	0	0	1	1	0	0	1	1	1	1
the ice cream melted .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
david melted the popsicle .	1	1	1	1	1	1	0	1	1	0	0	0	0	1	1	0	0	1	1	0	1
the popsicle melted .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kelly bounced the ball .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the ball bounced .	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
nicole bounced the balloon .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the balloon bounced .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
david turned the sculpture .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the sculpture turned .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
michael turned the sofa .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the sofa turned .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
christopher turned the image .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the image turned .	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
elizabeth condensed the alcohol .	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	1
the alcohol condensed .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
david condensed the water .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the water condensed .	1	0	0	1	0	1	0	1	0	0	0	0	0	1	1	0	0	1	1	0	1
rebecca condensed the solution .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the solution condensed .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
christopher folded the paper .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the paper folded .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
nicole folded the sheet .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the sheet folded .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
kelly folded the poster .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the poster folded .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
david folded the leaf .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the leaf folded .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
kelly folded the foil .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the foil folded .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
michael wrinkled the paper .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the paper wrinkled .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rebecca wrinkled the sheet .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the sheet wrinkled .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
david wrinkled the poster .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the poster wrinkled .	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
nicole wrinkled the leaf .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the leaf wrinkled .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nicole wrinkled the foil .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the foil wrinkled .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
david crumpled the paper .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the paper crumpled .	1	1	0	1	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0
jessica crumpled the sheet .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the sheet crumpled .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
james crumpled the poster .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the poster crumpled .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
james crumpled the leaf .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the leaf crumpled .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jessica crumpled the foil .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the foil crumpled .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
michael frayed the paper .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the paper frayed .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
david frayed the sheet .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the sheet frayed .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
elizabeth frayed the poster .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the poster frayed .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
james frayed the leaf .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the leaf frayed .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
james frayed the foil .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the foil frayed .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
christopher stretched the paper .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the paper stretched .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rebecca stretched the sheet .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the sheet stretched .	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
james stretched the poster .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the poster stretched .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
kelly stretched the leaf .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the leaf stretched .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
david stretched the foil .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the foil stretched .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
christopher unfolded the paper .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the paper unfolded .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
david unfolded the sheet .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the sheet unfolded .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
michael unfolded the poster .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the poster unfolded .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
michael unfolded the leaf .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the leaf unfolded .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
elizabeth unfolded the foil .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the foil unfolded .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
christopher flattened the paper .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the paper flattened .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jason flattened the sheet .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the sheet flattened .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
david flattened the poster .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the poster flattened .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
kelly flattened the leaf .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the leaf flattened .	1	0	0	1	0	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0
kelly flattened the foil .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the foil flattened .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
david smoothed the paper .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the paper smoothed .	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
jason smoothed the sheet .	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1
the sheet smoothed .	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
rebecca smoothed the poster .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the poster smoothed .	1	0	1	1	1	1	1	1	1	0	0	0	0	1	1	0	0	1	1	1	1
jason smoothed the leaf .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the leaf smoothed .	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0
david smoothed the foil .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the foil smoothed .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
james darkened the lights .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the lights darkened .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
james darkened the room .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the room darkened .	1	1	0	0	0	1	1	1	0	1	0	0	1	0	0	1	1	1	1	0	1
james darkened the image .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the image darkened .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rebecca darkened the picture .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the picture darkened .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
michael brightened the lights .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the lights brightened .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
michael brightened the room .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the room brightened .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
james brightened the image .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the image brightened .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
james brightened the picture .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the picture brightened .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rebecca dimmed the lights .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the lights dimmed .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
elizabeth dimmed the room .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the room dimmed .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
david dimmed the image .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the image dimmed .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
