test MCC		0.34640,	0.44440,	0.45237,	0.44839,	0.47177,	0.46015,	0.46473,	0.46015,	0.43281,	0.42714,	0.42770,	0.40062,	0.47542,	0.48327,	0.40838,	0.38632,	0.46399,	0.45604,	0.45013,	0.45992,
rebecca dimmed the picture .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the picture dimmed .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jason loosened the knot .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the knot loosened .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jason loosened the belt .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the belt loosened .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
david loosened the grip .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the grip loosened .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rebecca tightened the knot .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the knot tightened .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
christopher tightened the belt .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the belt tightened .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rebecca tightened the grip .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the grip tightened .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
elizabeth dried the cloth .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the cloth dried .	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	0	0	1	1	1	1
rebecca dried the clothes .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the clothes dried .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
david dried the plant .	1	0	1	1	1	1	1	1	1	0	1	0	0	1	1	0	0	1	1	1	1
the plant dried .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nicole dried the grass .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the grass dried .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
michael dampened the cloth .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the cloth dampened .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
elizabeth dampened the clothes .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the clothes dampened .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nicole dampened the plant .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the plant dampened .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rebecca dampened the grass .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the grass dampened .	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1
jason destroyed the evidence .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the evidence destroyed .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
david harvested the crops .	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	0	0	1	1	1	1
the crops harvested .	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0
rebecca harvested the tomatoes .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the tomatoes harvested .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rebecca harvested the oranges .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the oranges harvested .	0	0	1	1	1	1	1	1	1	0	0	0	0	1	0	0	0	1	0	0	0
nicole cut the apple .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the apple cut .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nicole cut the onion .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the onion cut .	0	0	1	1	1	0	0	1	1	0	0	0	0	1	0	0	0	1	1	1	1
kelly cut the garlic .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the garlic cut .	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1
kelly cut the tomato .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the tomato cut .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kelly chopped the apple .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
the apple chopped .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
christopher chopped the onion .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the onion chopped .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
michael chopped the garlic .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the garlic chopped .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jason chopped the tomato .	1	0	1	1	1	1	0	1	1	0	0	0	0	1	0	0	0	1	1	0	1
the tomato chopped .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
elizabeth peeled the apple .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the apple peeled .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nicole peeled the onion .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the onion peeled .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nicole peeled the garlic .	1	0	1	1	1	1	1	1	1	0	0	0	0	1	1	0	0	1	1	1	1
the garlic peeled .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
michael peeled the tomato .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the tomato peeled .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
david minced the apple .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
the apple minced .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jason minced the onion .	1	0	1	1	1	1	1	1	1	0	0	0	0	1	1	0	0	1	1	1	1
the onion minced .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nicole minced the garlic .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
the garlic minced .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jason minced the tomato .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
the tomato minced .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jessica deposited the cash .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the cash deposited .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jessica deposited the money .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the money deposited .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
james deposited the funds .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the funds deposited .	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1
kelly withdrew the cash .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the cash withdrew .	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jason withdrew the money .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the money withdrew .	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jessica withdrew the funds .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the funds withdrew .	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
james saved the cash .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the cash saved .	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
jessica saved the money .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the money saved .	0	1	1	1	1	1	0	1	1	0	0	0	0	1	1	0	0	1	1	0	1
jason saved the funds .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the funds saved .	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
nicole collected the cash .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the cash collected .	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1
michael collected the money .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the money collected .	0	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	0	1	1	0	1
rebecca collected the funds .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the funds collected .	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rebecca recounted the story .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the story recounted .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
elizabeth recounted the book .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the book recounted .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
christopher recounted the anecdote .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the anecdote recounted .	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rebecca recounted the article .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the article recounted .	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jason recounted the chapter .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the chapter recounted .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rebecca recounted the letter .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the letter recounted .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kelly wrote the story .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the story wrote .	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
christopher wrote the book .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the book wrote .	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
christopher wrote the anecdote .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the anecdote wrote .	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1
jason wrote the article .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the article wrote .	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
elizabeth wrote the chapter .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the chapter wrote .	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0
kelly wrote the letter .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the letter wrote .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jason read the story .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the story read .	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
kelly read the book .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the book read .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
david read the anecdote .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the anecdote read .	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jason read the article .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the article read .	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
elizabeth read the chapter .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the chapter read .	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jason read the letter .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the letter read .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
elizabeth edited the story .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the story edited .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jessica edited the book .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the book edited .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jason edited the anecdote .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the anecdote edited .	0	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1
jason edited the article .	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	0	1	1	1	1
the article edited .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
david edited the chapter .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
the chapter edited .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rebecca edited the letter .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the letter edited .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
james skimmed the story .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the story skimmed .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
james skimmed the book .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the book skimmed .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
christopher skimmed the anecdote .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the anecdote skimmed .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kelly skimmed the article .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the article skimmed .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
david skimmed the chapter .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
the chapter skimmed .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
christopher skimmed the letter .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the letter skimmed .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jason revealed the secret .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the secret revealed .	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
michael revealed the mistake .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the mistake revealed .	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
david revealed the results .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the results revealed .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jessica revealed the outcome .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the outcome revealed .	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
michael revealed the mess .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the mess revealed .	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
christopher revealed the disaster .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the disaster revealed .	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
michael concealed the secret .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the secret concealed .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rebecca concealed the mistake .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the mistake concealed .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nicole concealed the results .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the results concealed .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
elizabeth concealed the outcome .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the outcome concealed .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
michael concealed the mess .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the mess concealed .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
christopher concealed the disaster .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the disaster concealed .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
david covered up the secret .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the secret covered up .	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
christopher covered up the mistake .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the mistake covered up .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kelly covered up the results .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the results covered up .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jason covered up the outcome .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the outcome covered up .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jessica covered up the mess .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the mess covered up .	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
kelly covered up the disaster .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the disaster covered up .	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
david uncovered the secret .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the secret uncovered .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
david uncovered the mistake .	1	0	1	1	1	1	0	1	1	0	0	0	0	1	1	0	0	1	1	0	1
the mistake uncovered .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jessica uncovered the results .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the results uncovered .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
james uncovered the outcome .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the outcome uncovered .	0	0	1	1	1	1	1	1	1	0	0	0	0	1	1	0	0	0	1	0	1
david uncovered the mess .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the mess uncovered .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nicole uncovered the disaster .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the disaster uncovered .	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
kelly drank the liquid .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the liquid drank .	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
kelly drank the water .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the water drank .	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jessica drank the vodka .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the vodka drank .	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
david drank the beer .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the beer drank .	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
michael drank the juice .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the juice drank .	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1
david chugged the liquid .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the liquid chugged .	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
michael chugged the water .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the water chugged .	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jessica chugged the vodka .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the vodka chugged .	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rebecca chugged the beer .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the beer chugged .	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
david chugged the juice .	1	0	1	1	0	1	1	1	1	0	0	0	0	1	1	0	0	1	1	0	1
the juice chugged .	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
james swallowed the liquid .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the liquid swallowed .	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
kelly swallowed the water .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the water swallowed .	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
michael swallowed the vodka .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the vodka swallowed .	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
elizabeth swallowed the beer .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the beer swallowed .	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
james swallowed the juice .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the juice swallowed .	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
michael wasted the liquid .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the liquid wasted .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
elizabeth wasted the water .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the water wasted .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
david wasted the vodka .	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	1	1	1	1
the vodka wasted .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rebecca wasted the beer .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
the beer wasted .	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
kelly wasted the juice .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
the juice wasted .	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
